"Product Line","SFDALicense:ProductCNname","SFDALicense:Product EN name","SFDALicense: First Approved Date","Abbr.","REF","SMN","EAN/UPC(DI)","最小销售单元中使用单元的数量","Unit of Use Device Identifier","Package","SFDALicense","Approved Date","Effective Date","SFDALicense:ExpiredDate","SFDALicense:Chinese name of Certificate Holder","SFDALicense:English name of Certificate Holder","SFDALicense:Certificate Holder","SFDALicense:Holder's Address","SFDALicense:Holder's Address2","manufacture's Address","Manufacturer city","IFU valid from Date","IFU valid to Date","CN IFU IssuedDate","Label valid from Date","Label valid to Date","CN Label IssuedDate","Reviewer","ReviewDate","EN IFU Version","EXP(Month)","RA Check Status","CER History (FY-TYPE-Class-CER)","Status","SFDALicense:产品类别(设备/耗材)","SFDALicense:器械类别(器械/体外诊断)","SFDALicense:代理人住所","SFDALicense:代理人名称","SFDALicense:IVD注册申请表分类","SFDALicense:备注(注册证备注信息)","SFDALicense: Abbreviation","SFDALicense:生产标识是否包含失效日期","SFDALicense:生产标识是否包含序列号","SFDALicense:生产标识是否包含批号","SFDALicense:生产标识是否包含生产日期","UDI Database Add/Updated","RA Owner","Released IFU Date","Change EN VS CN","Released IFU no.","Released Label No.","Released Label Date","UDI Database Description","Change Description","ID","Modified","Modified By","BU","License"
"Atellica CH","类风湿因子测定试剂盒(免疫比浊法)","Rheumatoid Factor Reagents(RF)","2005-06-15","RF","11097618","11097618","00630414595603","1",,"2×180测试/盒(Atellica 系列)","国械注进20152400363","2025-05-23","2025-05-23","2029-08-12","美国西门子医学诊断股份有限公司","Siemens Healthcare Diagnostics Inc.","SHD Inc","511 Benedict Avenue, Tarrytown, New York 10591, USA","Tarrytown","Ardmore, 55 Diamond Road, Crumlin, Co Antrim, BT29 4QY, UK","Crumlin UK","2024-08-13","2029-08-12","2024-07-15","2024-08-13","2029-08-12","2024-07-15","Zhang Tingting","2021-04-20",,"12",,"2016_Change_II_国械注进20152400363
2018_Change_II_国械注进20152400363
2019_Renewal_II_国械注进20152400363
2021_Change_II_国械注进20152400363","Approved","耗材","体外诊断试剂","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","西门子医学诊断产品(上海)有限公司","6840-24-009用于自身抗体检测的试剂","延续注册产品技术要求未发生变化，沿用原核发的产品技术要求。","RF","是","否","是","否",,,"2021-04-21",,"11097618_SHD_20210402_CNA","11097618_SHD_20240813_CNB","2021-04-21",,,"4947","2025-05-28 10:37","SONG, YUAN YUAN-Alice","CAI","国械注进20152400363"
"ADVIA Chem","类风湿因子测定试剂盒(免疫比浊法)","Rheumatoid Factor Reagents(RF)","2005-06-15","RF","00655137(B01-4806-01)","10311894","00630414482385","1",,"2×100测试/盒(ADVIA 1200/1650/1800/2400/XPT)","国械注进20152400363","2025-05-23","2025-05-23","2029-08-12","美国西门子医学诊断股份有限公司","Siemens Healthcare Diagnostics Inc.","SHD Inc","511 Benedict Avenue, Tarrytown, New York 10591, USA","Tarrytown","Ardmore, 55 Diamond Road, Crumlin, Co Antrim, BT29 4QY, UK","Crumlin UK","2024-08-13","2029-08-12","2024-07-15","2024-08-13","2029-08-12","2024-07-15","Han LingXiu","2019-09-03","10494028_EN Rev. E, 2011-02","12",,"2016_Change_II_国械注进20152400363
2018_Change_II_国械注进20152400363
2019_Renewal_II_国械注进20152400363
2021_Change_II_国械注进20152400363","Approved","耗材","体外诊断试剂","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","西门子医学诊断产品(上海)有限公司","6840-24-009用于自身抗体检测的试剂","延续注册产品技术要求未发生变化，沿用原核发的产品技术要求。","RF","是","否","是","否",,,"2019-09-03",,"10311894_00655137(B01-4806-01)(1200/1650/1800/2400)_SHD_20190813_CNA / 10311894_00655137(B01-4806-01)(XPT)_SHD_20190813_CNA","10311894_00655137(B01-4806-01)_SHD_20240813_CNB","2019-09-03",,,"4946","2025-05-28 10:36","SONG, YUAN YUAN-Alice","CAI","国械注进20152400363"
"Hematology","血液分析仪质控品(正常值)","Advia 120  TESTpoint 3-in-1Control Normal","2013-07-26","01964346 血液分析仪质控品（正常值）","01964346","10316217","00630414473390","1",,"4×4.0mL","国械注进20162404141","2025-05-22","2026-01-28","2031-01-27","美国西门子医学诊断股份有限公司","Siemens Healthcare Diagnostics Inc.","SHD Inc","511 Benedict Avenue, Tarrytown, New York 10591, USA","Tarrytown","7002 S. 109th Street, Omaha, NE, 68128, United States","Omaha USA","2021-01-28","2026-01-27","2021-03-01","2021-01-28","2026-01-27","2021-03-01","Zhang Qiang","2021-02-26","03895848 Rev. F, 2010-07","105天",,"0","Approved","耗材","体外诊断试剂","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","西门子医学诊断产品(上海)有限公司","6840-24-012用于其他生理、生化或者免疫功能指标检测的试剂","延续注册产品技术要求/说明书未发生变化，沿用原核发的产品技术要求/说明书。","01964346 血液分析仪质控品（正常值）","是","否","是","否",,,"2021-03-01",,"10316217_01964346_SHD_20210128_CNA","10316217_01964346_SHD_20210128_CNB","2021-03-01",,,"4685","2025-05-28 10:18","TANG, XU","HHS","国械注进20162404141"
"Hematology","血液分析仪质控品(高值)","Advia 120  TESTpoint 3-in-1 Control Abnormal 2","2013-04-25","03410380 血液分析仪质控品（高值）","03410380","10318905","00630414473413","1",,"4×4.0mL","国械注进20162404146","2025-05-20","2026-02-01","2031-01-31","美国西门子医学诊断股份有限公司","Siemens Healthcare Diagnostics Inc.","SHD Inc","511 Benedict Avenue, Tarrytown, New York 10591, USA","Tarrytown","7002 S. 109th Street, Omaha, NE, 68128, United States","Omaha USA","2021-02-01","2026-01-31","2021-03-01","2021-02-01","2026-01-31","2021-03-01","Zhang Qiang","2021-02-26","03895848 Rev. F, 2010-07","105天",,"0","Approved","耗材","体外诊断试剂","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","西门子医学诊断产品(上海)有限公司","6840-24-012用于其他生理、生化或者免疫功能指标检测的试剂","延续注册产品说明书/技术要求未发生变化，沿用原核发的产品说明书/技术要求。","03410380 血液分析仪质控品（高值）","是","否","是","否",,,"2021-03-01",,"10318905_03410380_SHD_20210201_CNA","10318905_03410380_SHD_20210201_CNB","2021-03-01",,,"4683","2025-05-28 10:04","TANG, XU","HHS","国械注进20162404146"
"Hematology","血液分析仪质控品(低值)","Advia 120  TESTpoint 3-in-1 Control Abormal 1","2013-04-25","09459683 血液分析仪质控品（低值）","09459683","10330063","00630414473406","1",,"4×4.0mL","国械注进20162404149","2025-05-20","2026-01-28","2031-01-27","美国西门子医学诊断股份有限公司","Siemens Healthcare Diagnostics Inc.","SHD Inc","511 Benedict Avenue, Tarrytown, New York 10591, USA","Tarrytown","7002 S. 109th Street, Omaha, NE, 68128, United States","Omaha USA","2021-01-28","2026-01-27","2021-03-01","2021-01-28","2026-01-27","2021-03-01","Zhang Qiang","2021-02-26","03895848 Rev. F, 2010-07","105天",,"0","Approved","耗材","体外诊断试剂","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","西门子医学诊断产品(上海)有限公司","6840-24-012用于其他生理、生化或者免疫功能指标检测的试剂","延续注册产品说明书/技术要求未发生变化，沿用原核发的产品说明书/技术要求。","09459683 血液分析仪质控品（低值）","是","否","是","否",,,"2021-03-01",,"10330063_09459683_SHD_20210128_CNA","10330063_09459683_SHD_20210128_CNB","2021-03-01",,,"4684","2025-05-28 09:59","TANG, XU","HHS","国械注进20162404149"
"Hematology","血液分析仪校准液","SETpoint Calibrator","2010-06-07","09170071(T03-3685-52) 血液分析仪校准液","09170071(T03-3685-52)","10312285","00630414224343","1",,"2×6.1mL","国械注进20162404148","2025-05-20","2026-01-28","2031-01-27","美国西门子医学诊断股份有限公司","Siemens Healthcare Diagnostics Inc.","SHD Inc","511 Benedict Avenue, Tarrytown, New York 10591, USA","Tarrytown","7002 S. 109th Street, Omaha, NE, 68128, United States","Omaha USA","2021-01-28","2026-01-27","2021-03-01","2021-01-28","2026-01-27","2021-03-01","Zhang Qiang","2021-02-26","03886431 Rev. L, 2013-04","45天",,"2016_Renewal_II_国械注进20162404148
2021_Renewal_II_国械注进20162404148","Approved","耗材","体外诊断试剂","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","西门子医学诊断产品(上海)有限公司","6840-24-012用于其他生理、生化或者免疫功能指标检测的试剂","延续注册产品技术要求/说明书未发生变化，沿用原核发的产品技术要求/说明书。","09170071(T03-3685-52) 血液分析仪校准液","是","否","是","否",,,"2021-03-01",,"10312285_09170071(T03-3685-52)_SHD_20210128_CNA","10312285_09170071(T03-3685-52)_SHD_20210128_CNB","2021-03-01",,,"4674","2025-05-28 09:39","TANG, XU","HHS","国械注进20162404148"
"PP","铜蓝蛋白测定试剂盒(散射比浊法)","N Antiserum to Human Ceruloplasmin","2008-11-24","OUIE N A H Ceruloplasmin_class III","OUIE09","10446451","00842768011382","1",,"1×2mL","国械注进20163400449","2025-04-23","2025-11-13","2030-11-12","德国西门子医学诊断产品有限公司","Siemens Healthcare Diagnostics Products GmbH","SHDPG","Emil-von-Behring-Str. 76, 35041 Marburg, Germany","Marburg","Emil-von-Behring-Str. 76, 35041 Marburg, Germany","Marburg","2020-11-13","2025-11-12","2020-11-26","2020-11-13","2025-11-12","2020-11-26","Liu Jie","2020-11-26","OUIEG09E0502(43),Edition June 2010","24",,"2016_New Product_III_国械注进20163400449
2020_Change_III_国械注进20163400449
2021_Renewal_III_国械注进20163400449","Approved","耗材","体外诊断试剂","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","西门子医学诊断产品(上海)有限公司","6840-23-004与人类基因、遗传性疾病相关的检测试剂",,"OUIE N A H Ceruloplasmin_class III","是","否","是","否",,,"2020-11-26",,"10446451_OUIE09_SHDP_20201113_CNA","10446451_OUIE09_SHDP_20201113_CNB","2020-11-26",,,"4528","2025-05-28 09:22","TANG, XU","HHS","国械注进20163400449"
"ADVIA Chem","载脂蛋白B测定试剂盒(免疫比浊法)","Apolipoprotein B(APO B) Reagents","2005-06-08","APO B","03055068 ","10318207","00630414517674","1",,"2×85测试/盒(ADVIA 1200/1650/1800/2400/XPT)","国械注进20172400738","2025-05-20","2025-05-20","2026-09-05","美国西门子医学诊断股份有限公司","Siemens Healthcare Diagnostics Inc.","SHD Inc","511 Benedict Avenue, Tarrytown, New York 10591, USA","Tarrytown","Ardmore, 55 Diamond Road, Crumlin, Co Antrim, BT29 4QY, UK.","Crumlin UK","2021-09-06","2026-09-05","2021-09-29","2021-09-06","2026-09-05","2021-09-29","Zhang Tingting","2021-09-23","10493949_EN Rev. F, 2011-01","24",," 
2017_Renewal_II_国械注进20172400738
2018_Change_II_国械注进20172400738","Approved","耗材","体外诊断试剂","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","西门子医学诊断产品(上海)有限公司","6840-24-005用于酯类检测的试剂"," ","APO B","是","否","是","否",,,"2021-09-29",,"10318207_03055068(XPT)_SHD_20210906_CNA / 10318207_03055068(1200/1650/1800/2400)_SHD_20210906_CNA","10318207_03055068_SHD_20210906_CNB","2021-09-29",,,"4944","2025-05-28 09:17","TANG, XU","CAI","国械注进20172400738"
"Atellica CI;Atellica IM","黄体生成素测定试剂盒(直接化学发光法)","LH","2010-03-22","LH","10995634","10995634","00630414599526","5","00630414007625","550测试/盒(Atellica IM系列)","国械注进20162404645","2025-05-20","2025-05-20","2031-04-19","美国西门子医学诊断股份有限公司","Siemens Healthcare Diagnostics Inc.","SHD Inc","511 Benedict Avenue, Tarrytown, New York 10591, USA","Tarrytown","333 Coney Street, East Walpole, Massachusetts 02032, USA","Walpole","2022-05-18","2026-04-19","2022-11-23","2022-05-18","2026-04-19","2022-11-23","Xiao Yuan","2021-07-08",,"17",,"2017_Renewal_II_国械注进20162404645
2018_Change_II_国械注进20162404645
2019_Change_II_国械注进20162404645
2021_Change_II_国械注进20162404645
_Renewal_II_国械注进20162404645","Approved","耗材","体外诊断试剂","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","西门子医学诊断产品(上海)有限公司","6840-24-003用于激素检测的试剂","本文件与“国械注进20162404645”注册证共同使用。","LH","是","否","是","否",,,"2021-11-02",,"10995634_SHD_20220518_CNA","10995634_SHD_20220518_CNB","2021-11-02",,,"5291","2025-05-28 09:10","TANG, XU","CAI","国械注进20162404645"
"Atellica CI;Atellica IM","黄体生成素测定试剂盒(直接化学发光法)","LH","2010-03-22","LH","10995635","10995635","00630414599533","1",,"110测试/盒(Atellica IM系列)","国械注进20162404645","2025-05-20","2025-05-20","2031-04-19","美国西门子医学诊断股份有限公司","Siemens Healthcare Diagnostics Inc.","SHD Inc","511 Benedict Avenue, Tarrytown, New York 10591, USA","Tarrytown","333 Coney Street, East Walpole, Massachusetts 02032, USA","Walpole","2022-05-18","2026-04-19","2022-11-23","2022-05-18","2026-04-19","2022-11-23","Xiao Yuan","2021-07-08",,"17",,"2017_Renewal_II_国械注进20162404645
2018_Change_II_国械注进20162404645
2019_Change_II_国械注进20162404645
2021_Change_II_国械注进20162404645
_Renewal_II_国械注进20162404645","Approved","耗材","体外诊断试剂","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","西门子医学诊断产品(上海)有限公司","6840-24-003用于激素检测的试剂","本文件与“国械注进20162404645”注册证共同使用。","LH","是","否","是","否",,,"2021-11-02",,"10995635_SHD_20220518_CNA","10995635_SHD_20220518_CNB","2021-11-02",,,"5290","2025-05-28 09:10","TANG, XU","CAI","国械注进20162404645"
