"ID","SFDALicense","SMN","First Approve Date","Approved Date","ExpiredDate","ProductType","BU","Class","Product line","ProductCNname","Product EN name","CurrentState","Chinese name of Certificate Holder","English name of Certificate Holder","Certificate Holder","Holder's Address","Holder's Address (City)","产品类别(设备/耗材)","器械类别(器械/体外诊断)","主要组成成分","预期用途","代理人名称","代理人住所","器械目录分类","器械目录分类: 编码","IVD注册申请表分类","生产标识是否包含批号","生产标识是否包含序列号","体外诊断试剂产品分类(类别)","体外诊断试剂产品分类（名称）","生产标识是否包含生产日期","生产标识是否包含失效日期","备注(注册证备注信息)","ChangeHistory","ALLSMN","ALLSMN:Effective Date","ALLSMN:ApprovedDate","ALLSMN: Reviewer","Abbreviation","Reviewer","RA Owner","Created","Modified","Storage Condition","编辑次数","PM No.","PM No.: Product Abbreviation","ExpRenewIn2Years","Modified By","CER_Link Material List","Title","Title","TriggerApproval"
"7612","国械注进20213400073","11203743;11200508","2021-03-18","2021-03-18","2026-03-17","Reagent","CAI","3","[""Centaur"",""Atellica IM""]","游离前列腺特异性抗原校准品","fPSA calibrator","Publish","英国西门子医学诊断产品有限公司","Siemens Healthcare Diagnostics Products Limited","SHDPL","Glyn Rhonwy, Llanberis, Gwynedd, LL55 4EL, United Kingdom","Llanberis","耗材","体外诊断试剂","试剂由低值校准品和高值校准品组成。（具体内容详见说明书）","本产品用于本公司生产的游离前列腺特异性抗原测定试剂盒的校准。","西门子医学诊断产品(上海)有限公司","中国(上海)自由贸易试验区英伦路38号四层410、411、412室",,,"6840-28-007列入免临床目录与肿瘤标志物检测相关的试剂","是","否","07 Ⅲ-7 与肿瘤标志物检测相关的试剂","6840-173 游离前列腺特异抗原(fPSA)检测试剂","否","是"," ","2021_New Product_III_国械注进20213400073","11203743,11200508","2021-03-18; 2021-03-18","2021-03-18; 2021-03-18","Chen Ena; Chen Ena","fPSA Cal","[]","Chen Chun Zhen","2022-02-10 13:54","2025-03-18 10:23","2 ～ 8℃","0",,,"Yes","ZHOU, HUI","国械注进20213400073","CAI","CAI","False"
"7613","国械注进20212400469","10995083;10733014","2021-11-24","2021-11-24","2026-11-23","Reagent","CAI","2","[""Centaur"",""Atellica IM""]","白介素-6质控品","Interleukin-6 (IL6) Quality Control","Publish","美国西门子医学诊断股份有限公司","Siemens Healthcare Diagnostics Inc.","SHD Inc","511 Benedict Avenue, Tarrytown, NY, 10591, United States","Tarrytown","耗材","体外诊断试剂","冻干复溶后，含有各种浓度的重组人白介素-6、牛血清白蛋白和防腐剂。","该产品用于白介素-6测定项目的质量控制。","西门子医学诊断产品(上海)有限公司","中国(上海)自由贸易试验区英伦路38号四层410、411、412室",,,"6840-24-012用于其他生理、生化或者免疫功能指标检测的试剂","是","否","20 Ⅱ-11 用于其他生理、生化或免疫功能指标检测的试剂","6840-661 白介素检测试剂","是","是"," "," ","10995083,10733014","2021-11-24; 2022-04-14","2021-11-24; 2022-04-14","Xiao Yuan; Yu Ying Ying","IL6 QC","[]",,"2022-02-10 13:54","2024-12-30 09:11","2 ～ 8℃","1",,,"Yes","ZHOU, HUI","国械注进20212400469","CAI","CAI","False"
"7614","国械注进20212400277","11099338;10720859;","2021-07-16","2021-07-16","2026-07-15","Reagent","CAI","2","[""Atellica CH"",""ADVIA Chem""]","糖化血红蛋白A1c定标液","Enzymatic Hemoglobin A1c Calibrator (A1c_E CAL)","Publish","美国西门子医学诊断股份有限公司","Siemens Healthcare Diagnostics Inc.","SHD Inc","511 Benedict Avenue, Tarrytown, New York 10591, USA","Tarrytown","耗材","体外诊断试剂","A1c_E定标液：具有批次特定的血红蛋白 A1c 值的来自人全血的血红蛋白和糖化血红蛋白，氧氟沙星。 A1c_E空白溶液：过氧化物酶, ProClin 300（5-氯-2-甲基-2H-异噻唑-3-1 和 2-甲基-2H-异噻唑-3-1)。(具体内容详见说明书）","本产品用于体外对糖化血红蛋白A1c测定试剂盒（蛋白酶法）检测试剂进行定标。","西门子医学诊断产品(上海)有限公司","中国(上海)自由贸易试验区英伦路38号四层410、411、412室",,," ","是","否","10 Ⅱ-1 用于蛋白质检测的试剂","6840-256 糖化血红蛋白检测试剂","否","是"," ","2021_New Product_II_国械注进20212400277","11099338,10720859","2021-07-16; 2021-07-16","2021-07-16; 2021-07-16","Chen Qianqian; Chen Qianqian","A1c_E cal","[]",,"2022-02-10 13:54","2024-08-23 13:29","2 ～ 8℃","1",,,"Yes","ZHOU, HUI","国械注进20212400277","CAI","CAI","False"
"7615","国械注进20212400185","10995080;10733011","2021-06-04","2021-06-04","2026-06-03","Reagent","CAI","2","[""Centaur"",""Atellica IM""]","白介素-6 测定试剂盒（化学发光法）","Interleukin-6 (IL6)","Publish","美国西门子医学诊断股份有限公司","Siemens Healthcare Diagnostics Inc.","SHD Inc","511 Benedict Avenue, Tarrytown, NY, 10591, United States","Tarrytown","耗材","体外诊断试剂","试剂盒由主试剂包（内含标记试剂、固相试剂）和校准品组成。（具体内容详见产品说明书）","该产品用于体外定量测定血清或血浆中的白介素-6(IL-6)。","西门子医学诊断产品(上海)有限公司","中国(上海)自由贸易试验区英伦路38号四层410、411、412室",,,"6840-24-012用于其他生理、生化或者免疫功能指标检测的试剂","是","否","20 Ⅱ-11 用于其他生理、生化或免疫功能指标检测的试剂","6840-661 白介素检测试剂","是","是"," ","
2021_New Product_II_国械注进20212400185","10995080,10733011","2021-06-04; 2022-03-05","2021-06-04; 2022-03-05","Xiao Yuan; Yu Ying Ying","IL-6","[]",,"2022-02-10 13:54","2024-08-23 13:29","2 ～ 8℃","1",,,"Yes","ZHOU, HUI","国械注进20212400185","CAI","CAI","False"
"7616","国械注进20212400126","11097536;10720858;10720857;","2021-04-19","2023-02-27","2026-04-18","Reagent","CAI","2","[""ADVIA Chem"",""Atellica CH""]","糖化血红蛋白测定试剂盒（蛋白酶法）","Enzymatic Hemoglobin A1c (A1c_E) Assay","Publish","美国西门子医学诊断股份有限公司","Siemens Healthcare Diagnostics Inc.","SHD Inc","511 Benedict Avenue, Tarrytown, New York 10591, USA","Tarrytown","耗材","体外诊断试剂","试剂1、试剂2、A1c_E预处理溶液。（具体内容详见说明书）","产品用于体外定量检测人静脉全血中的糖化血红蛋白的含量。","西门子医学诊断产品(上海)有限公司","中国(上海)自由贸易试验区英伦路38号四层410、411、412室",,," ","是","否","10 Ⅱ-1 用于蛋白质检测的试剂","6840-256 糖化血红蛋白检测试剂","否","是"," ","2021_New Product_II_国械注进20212400126","11097536,10720858,10720857","2023-02-27; 2023-02-27; 2023-02-27","2023-02-27; 2023-02-27; 2023-02-27","Wang Qing; Wang Qing; Wang Qing","A1c_E","[]",,"2022-02-10 13:54","2024-08-23 13:29","2 ～ 8℃","1",,,"Yes","ZHOU, HUI","国械注进20212400126","CAI","CAI","False"
"7617","国械注进20212400081","11128543;","2021-03-22","2024-03-19","2026-03-21","Reagent","CAI","2","[""Immulite 2000""]","胰岛素样生长因子 -I 测定试剂盒（化学发光法）","IGF-I","Publish","英国西门子医学诊断产品有限公司","Siemens Healthcare Diagnostics Products Limited","SHDPL","Glyn Rhonwy, Llanberis, Gwynedd, LL55 4EL, United Kingdom","Llanberis","耗材","体外诊断试剂","胰岛素样生长因子-I包被珠、胰岛素样生长因子-I试剂楔、胰岛素样生长因子-I校正品、胰岛素样生长因子-I样本稀释液。（具体内容详见说明书）","该产品用于体外定量检测血清或肝素化血浆中胰岛素样生长因子I（IGF-I）的含量。","西门子医学诊断产品(上海)有限公司","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","NA","NA"," ","是","否","12 Ⅱ-3 用于激素检测的试剂","6840-336 生长激素检测试剂","否","是"," /","2021_New Product_II_国械注进20212400081","11128543","2024-03-19","2024-03-19","Liu Jie","L2KIGF IGF-I 胰岛素样生长因子-I","[]","Song Yuan Yuan","2022-02-10 13:54","2024-08-23 13:29","2 ～ 8℃","1","FY24_M1","L2KIGF IGF-I 胰岛素样生长因子-I","No","ZHOU, HUI","国械注进20212400081","CAI","CAI","False"
"7618","国械注进20212400079","11097648;10734510;","2021-03-22","2021-03-22","2026-03-21","Reagent","CAI","2","[""ADVIA Chem"",""Atellica CH""]","胱抑素C校准液","Cystatin C_2 Calibrators (CYSC_2 CAL)","Publish","美国西门子医学诊断股份有限公司","Siemens Healthcare Diagnostics Inc.","SHD Inc","511 Benedict Avenue, Tarrytown, New York 10591, USA","Tarrytown","耗材","体外诊断试剂","人类血清中的重组人类胱抑素C，叠氮钠（具体内容详见说明书）","本产品用于对胱抑素C测定时进行定标。","西门子医学诊断产品(上海)有限公司","中国(上海)自由贸易试验区英伦路38号四层410、411、412室",,," ","是","否","10 Ⅱ-1 用于蛋白质检测的试剂","6840-295 胱抑素C检测试剂","否","是"," ","2021_New Product_II_国械注进20212400079","11097648,10734510","2021-03-22; 2021-03-22","2021-03-22; 2021-03-22","Chen Qianqian; Chen Qianqian","CYSC_2 Cal","[]",,"2022-02-10 13:54","2024-08-23 13:29","2 ～ 8℃","1",,,"Yes","ZHOU, HUI","国械注进20212400079","CAI","CAI","False"
"7619","国械注进20202400464","11201891;11201890;11201875;11201874;","2020-11-03","2025-02-25","2030-11-02","Reagent","CAI","2","[""Centaur"",""Atellica IM""]","N末端B型钠尿肽前体测定试剂盒(微粒子化学发光免疫分析法)","NT-proBNP(PBNP)","Publish","英国西门子医学诊断产品有限公司","Siemens Healthcare Diagnostics Products Limited","SHDPL","Glyn Rhonwy, Llanberis, Gwynedd, LL55 4EL, United Kingdom","Llanberis","耗材","体外诊断试剂","本产品由主试剂包（内含标记试剂、固相试剂、辅助孔试剂）、校准品（含低值校准品和高值校准品）组成。（具体内容详见说明书）","本产品用于体外定量检测人血清或血浆中的N末端B型钠尿肽前体。","西门子医学诊断产品(上海)有限公司","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","NA","NA","6840-24-001用于蛋白质检测的试剂","是","否","10 Ⅱ-1 用于蛋白质检测的试剂","6840-263 B型利钠肽（BNP）检测试剂","否","是"," 延续注册产品技术要求/说明书未发生变化，沿用原核发 的产品技术要求/说明书。","2021_New Product_II_国械注进20202400464","11201891,11201890,11201875,11201874","2025-11-03; 2025-11-03; 2025-11-03; 2025-11-03","2025-02-25; 2025-02-25; 2025-02-25; 2025-02-25","Xiao Yuan; Xiao Yuan; Xiao Yuan; Xiao Yuan","NT-proBNP","[]","Liu Jie","2022-02-10 13:54","2025-03-05 14:44","2 ～ 8℃","1","FY23_R23","NT-proBNP","No","Liu, Jie","国械注进20202400464","CAI","CAI","False"
"7620","国械注进20202400440","11097647;10734503;","2020-09-29","2024-08-26","2030-09-28","Reagent","CAI","2","[""ADVIA Chem"",""Atellica CH""]","胱抑素C测定试剂盒(免疫比浊法)","Cystatin C_2 Assay(CYSC_2)","Publish","美国西门子医学诊断股份有限公司","Siemens Healthcare Diagnostics Inc.","SHD Inc","511 Benedict Avenue, Tarrytown, New York 10591, USA","Tarrytown","耗材","体外诊断试剂","试剂1：缓冲液，甲基异噻唑啉酮（MIT）；试剂2：包被抗胱抑素C抗体（兔）的乳胶颗粒，叠氮钠。（具体内容详见产品说明书）","本产品用于体外定量测定人血清和血浆（肝素锂、乙二胺四乙酸钾）中的胱抑素C。","西门子医学诊断产品(上海)有限公司","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","NA","NA"," ","是","否","10 Ⅱ-1 用于蛋白质检测的试剂","6840-295 胱抑素C检测试剂","否","是","/","2020_New Product_II_国械注进20202400440","11097647,10734503","2025-09-29; 2025-09-29","2024-08-26; 2024-08-26","Han Hui; Han Hui","CYSC_2","[]","Wang Qing","2022-02-10 13:54","2024-09-27 17:03","2 ～ 8℃","1","FY23_R24","CYSC_2","No","Wang, Qing","国械注进20202400440","CAI","CAI","False"
"7621","国械注进20202220508","11239861;","2020-12-16","2023-01-06","2030-12-15","Instrument","HHS","2","[""PP""]","全自动蛋白分析仪","Atellica NEPH 630 System","Publish","德国西门子医学诊断产品有限公司","Siemens Healthcare Diagnostics Products GmbH","SHDPG","Emil-von-Behring-Str. 76, 35041 Marburg, Germany","Marburg","设备","器械","该产品由检测模块、试剂模块、样本模块、机械传动模块、稀释冲洗模块、电源模块、数据处理系统以及随机软件（发布版本号：V1）组成。","该产品全自动蛋白分析仪采用散射比浊法，与配套的检测试剂共同使用，在临床上用于对人血清、血浆、尿液以及脑脊液样本中的蛋白含量进行定量检测。","西门子医学诊断产品(上海)有限公司","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","22-04-06 免疫散射浊度分析仪器","22-04-06"," ","否","是",,,"否","否","延续注册产品技术要求未发生变化，沿用原核发的产品技术要求。","2021_New Product_II_国械注进20202220508","11239861","2025-12-16","2023-01-06","Han Hui","Atellica 630","[]",,"2022-02-10 13:54","2024-08-23 13:29",,"1",,,"No","ZHOU, HUI","国械注进20202220508","HHS","HHS","False"
